transaction_id,member_id,isbn,checkout_date,return_date,branch_id
TXN000000,M93810,978-0-433-21819-7,2024-08-17,2024-08-25,BR012
TXN000001,M28289,978-0-338-90838-4,2024-08-15,2024-09-02,BR011
TXN000002,M21395,978-1-02-654235-4,2023-12-27,,BR001
TXN000003,M38657,978-0-559-40781-9,2025-09-24,,BR010
TXN000004,M36062,978-0-8495-9310-9,2025-02-08,2025-02-16,BR012
TXN000005,M68878,978-0-316-47525-9,2024-06-29,2024-07-24,BR013
TXN000006,M30926,978-0-928327-64-9,2025-10-06,2025-10-13,BR006
TXN000007,M54118,978-1-03-056413-7,2025-08-11,,BR007
TXN000008,M55082,978-0-7672-4238-7,2024-11-10,,BR013
TXN000009,M70217,978-1-5328-7101-6,2024-02-02,2024-02-20,BR015
TXN000010,M48427,978-1-916697-84-3,22/09/2025,2025-10-04,BR010
TXN000011,M85674,978-0-8451-4627-9,2023-10-16,,BR002
TXN000012,M39871,978-0-8148-9325-8,2025-04-23,2025-05-21,BR002
TXN000013,M23238,978-1-70154-303-4,2025-07-16,2025-07-28,BR008
TXN000014,M31319,978-0-7182-2782-1,2024-04-24,2024-05-17,BR004
TXN000015,M99593,978-0-8346-5787-8,2024-01-10,2024-01-28,BR010
TXN000016,M42087,978-0-509-83930-1,2023-12-04,2024-01-03,BR007
TXN000017,M93886,978-0-10-518347-1,2024-03-18,2024-04-14,BR004
TXN000018,M17331,978-1-376-31165-5,2024-08-18,2024-08-31,BR001
TXN000019,M45093,978-0-10-651333-8,2024-11-09,2024-12-08,BR015
TXN000020,M51245,978-1-247-31781-6,2023-11-19,2023-12-19,BR008
TXN000021,M94259,978-0-326-77360-4,2024-02-11,2024-03-06,BR005
TXN000022,M83579,978-1-4746-8723-2,2024-05-17,2024-06-15,BR012
TXN000023,M86484,978-0-500-97882-5,2023-11-24,2023-11-29,BR004
TXN000024,M76784,978-0-19-136193-7,2024-12-10,,BR013
TXN000025,M24371,978-0-699-85435-1,2024-04-05,2024-04-19,  BR003 
TXN000026,M88172,978-0-475-10799-2,2025-10-11,2025-10-26,BR007
TXN000027,M79352,978-0-8425-1354-8,2024-02-06,2024-02-07,BR009
TXN000028,M99166,978-0-8412-4118-3,2024-02-04,2024-02-29,BR011
TXN000029,M44973,978-0-534-87401-8,19/01/2025,2025-02-02,BR006
TXN000030,M30730,978-0-05-242786-4,2024-11-27,2024-12-06,BR012
TXN000031,M75612,978-0-280-59826-8,2024-01-15,2024-02-12,BR009
TXN000032,M91959,978-1-05-331586-0,2025-09-24,2025-10-01,BR011
TXN000033,M30032,978-0-226-02563-6,2024-04-26,2024-05-21,BR003
TXN000034,M79514,978-1-07-337543-1,2024-03-24,2024-03-25,BR010
TXN000035,M24662,978-1-5414-5868-0,2024-06-12,2024-07-08,BR015
TXN000036,,978-0-429-40196-1,2024-06-22,2024-06-25,BR004
TXN000037,M21226,978-1-9816-9340-5,2025-03-15,,BR014
TXN000038,M79822,978-0-561-59514-6,18/10/2024,2024-11-05,BR003
TXN000039,M31643,978-1-64823-662-4,2025-01-05,2025-01-12,BR014
TXN000040,M80686,978-1-80443-699-8,2025-02-03,2025-02-13,BR012
TXN000041,M62296,978-1-7387214-8-1,2025-02-10,2025-03-11,BR011
TXN000042,M77839,978-0-343-32003-4,2025-10-02,2025-10-13,BR004
TXN000043,M12757,978-1-69367-632-1,2025-02-04,2025-02-05,BR004
TXN000044,M19305,978-0-632-87083-7,2025-08-14,2025-09-12,BR001
TXN000045,M14117,978-1-278-89579-6,2025-05-31,2025-06-09,BR002
TXN000046,M97684,978-1-277-43487-3,2025-01-14,2025-02-13,BR009
TXN000047,M84847,978-1-143-45581-0,2024-01-23,2024-02-18,BR004
TXN000048,M63354,978-1-231-66587-9,2024-08-12,2024-08-24,BR002
TXN000049,M65519,978-1-69096-705-7,2024-05-19,2024-06-10,BR014
TXN000050,M95649,978-1-889373-46-1,2024-10-03,,BR002
TXN000051,M54473,978-1-62729-806-3,12/19/2024,2024-12-26,BR002
TXN000052,M80292,978-0-627-20465-4,2024-03-16,2024-03-31,BR007
TXN000053,M42742,978-1-64641-708-7,2023-11-21,2023-12-19,BR002
TXN000054,M82132,978-0-10-033092-4,2024-04-05,2024-05-02,BR011
TXN000055,M11934,978-0-937452-99-8,2025-09-17,2025-09-25,BR015
TXN000056,M31798,978-0-419-04966-1,2025-09-01,2025-09-14,BR008
TXN000057,,978-0-931491-90-0,2024-06-23,2024-07-02,BR001
TXN000058,M69638,978-1-185-06716-3,15/09/2025,2025-10-11,BR012
TXN000059,M82845,978-0-628-49877-9,08/27/2024,2024-09-06,BR008
TXN000060,M38534,978-1-314-73799-8,2025-02-13,2025-02-15,BR010
TXN000061,M51104,978-0-7527-3545-0,2024-05-05,2024-06-04,BR010
TXN000062,M79615,978-0-8313-6783-1,2025-03-01,,BR009
TXN000063,M34356,978-1-01-436349-7,2024-07-09,2024-07-17,BR002
TXN000064,M62923,978-1-85574-443-1,2024-01-10,2024-01-29,BR015
TXN000065,M87924,,2024-03-02,2024-03-21,BR002
TXN000066,M84085,978-0-337-49894-7,2025-09-29,2025-10-21,BR015
TXN000067,M51180,978-1-352-40824-9,16/11/2023,2023-12-07,BR007
TXN000068,M49321,978-1-271-09477-6,2024-08-30,2024-09-02,BR015
TXN000069,M11220,978-0-471-16719-8,01/16/2025,2025-01-19,BR010
TXN000070,M80468,978-0-294-13186-4,2024-12-30,2025-01-11,BR005
TXN000071,M19016,978-1-77496-499-6,2023-11-27,2023-12-12,BR006
TXN000072,M81200,978-0-341-23281-0,2024-02-05,2024-03-02,BR010
TXN000073,M95717,978-1-9740-3447-5,2023-12-05,2023-12-15,BR011
TXN000074,M96951,978-1-936183-24-1,2025-06-09,2025-06-13,BR015
TXN000075,M24029,978-0-249-94717-5,2025-02-28,2025-03-20,BR003
TXN000076,M37607,978-1-887719-06-3,2025-04-02,2025-04-30,BR004
TXN000077,M44600,978-0-13-990490-5,2025-04-23,2025-05-21,BR005
TXN000078,M16658,978-1-874296-71-3,2024-09-21,2024-09-23,BR007
TXN000079,,978-1-5125-6746-5,2025-05-30,2025-06-08,BR003
TXN000080,M31178,978-1-154-51680-7,2025-02-05,2025-02-23,BR009
TXN000081,M11267,978-1-03-859770-0,03/10/2024,2024-03-15,BR015
TXN000082,M81511,,2024-11-18,2024-11-23,BR006
TXN000083,,978-1-71093-248-5,2023-10-23,2023-11-22,BR005
TXN000084,M15229,978-0-317-12748-5,2025-03-12,2025-04-03,  BR004 
TXN000085,M23473,978-1-7378263-9-2,10/19/2024,2024-11-02,BR009
TXN000086,M91351,978-0-465-84044-1,2025-06-17,2025-07-15,BR015
TXN000087,M31299,978-0-7875-5886-4,2024-09-10,2024-09-24,BR013
TXN000088,M13248,978-0-396-36057-5,2025-03-12,2025-04-11,BR015
TXN000089,M63964,978-1-270-28951-7,2025-07-14,2025-07-22,BR014
TXN000090,M44970,978-0-87026-217-3,2025-05-07,2025-06-04,BR012
TXN000091,M15075,978-1-961586-57-4,2025-07-12,2025-08-11,BR004
TXN000092,M70332,978-0-343-16117-0,2024-02-12,2024-02-20,BR014
TXN000093,M39219,,05/19/2024,2024-05-28,BR004
TXN000094,M19099,978-0-504-55623-4,2024-11-05,2024-11-22,BR005
